city,state_name,lat,lng,population,location_id
Bonita Springs,Florida,26.3558,-81.7859,449527,1098
Denton,Texas,33.2175,-97.1418,438492,1099
Oakland,California,37.7904,-122.2166,437825,1100
Springfield,Massachusetts,42.1155,-72.5395,437752,1101
Augusta,Georgia,33.3645,-82.0708,437257,1102
Kissimmee,Florida,28.3041,-81.4169,431618,1103
Winston-Salem,North Carolina,36.1029,-80.261,427706,1104
Stockton,California,37.9765,-121.3109,413637,1105
Syracuse,New York,43.0407,-76.1437,410732,1106
Chattanooga,Tennessee,35.066,-85.2481,406849,1107
Lancaster,Pennsylvania,40.042,-76.3012,402476,1108
Greenville,South Carolina,34.8354,-82.3646,401443,1109
Durham,North Carolina,35.9792,-78.9022,399616,1110
Pensacola,Florida,30.4413,-87.1911,398813,1111
Fayetteville,Arkansas,36.0714,-94.1661,394650,1112
Arlington,Texas,32.6998,-97.125,393469,1113
Aurora,Colorado,39.7083,-104.7237,387349,1114
Oxnard,California,34.1964,-119.1815,369962,1115
Indio,California,33.7346,-116.2346,369654,1116
Scranton,Pennsylvania,41.4044,-75.6649,366334,1117
Victorville,California,34.5277,-117.3536,364015,1118
Trenton,New Jersey,40.2237,-74.7641,362179,1119
Modesto,California,37.6375,-121.0028,354183,1120
Huntsville,Alabama,34.6981,-86.6412,349482,1121
Honolulu,Hawaii,21.3294,-157.846,348547,1122
Greensboro,North Carolina,36.0956,-79.8271,347130,1123
Anaheim,California,33.839,-117.8574,347111,1124
Corpus Christi,Texas,27.7254,-97.3767,337230,1125
Fort Wayne,Indiana,41.0888,-85.1436,337163,1126
Fort Collins,Colorado,40.5477,-105.0656,335398,1127
Jackson,Mississippi,32.3157,-90.2125,335171,1128
Myrtle Beach,South Carolina,33.7094,-78.8844,332181,1129
Fayetteville,North Carolina,35.085,-78.9772,328804,1130
Antioch,California,37.9787,-121.796,327216,1131
Lansing,Michigan,42.7142,-84.5601,322561,1132
Lexington,Kentucky,38.0423,-84.4587,321276,1133
Mobile,Alabama,30.6782,-88.1162,320855,1134
Youngstown,Ohio,41.0993,-80.6463,319065,1135
Henderson,Nevada,36.0133,-115.0381,318063,1136
Savannah,Georgia,32.0286,-81.1821,316050,1137
Poughkeepsie,New York,41.695,-73.9211,314159,1138
Santa Ana,California,33.7367,-117.8819,311379,1139
Ann Arbor,Michigan,42.2759,-83.731,308983,1140
St. Paul,Minnesota,44.9478,-93.1039,308806,1141
Newark,New Jersey,40.7245,-74.1725,307355,1142
Irvine,California,33.6772,-117.7738,304527,1143
Santa Rosa,California,38.4458,-122.7067,296180,1144
Canton,Ohio,40.8078,-81.3676,294047,1145
Asheville,North Carolina,35.5707,-82.5537,294013,1146
Flint,Michigan,43.0236,-83.6921,293893,1147
Winter Haven,Florida,28.0118,-81.7014,293093,1148
Anchorage,Alaska,61.1508,-149.1091,290674,1149
Lincoln,Nebraska,40.8099,-96.6784,290531,1150
Concord,North Carolina,35.3933,-80.6369,288783,1151
Jersey City,New Jersey,40.7184,-74.0686,287899,1152
Springfield,Missouri,37.1943,-93.2916,286280,1153
Plano,Texas,33.0502,-96.7486,284948,1154
Shreveport,Louisiana,32.4653,-93.7955,283536,1155
Davenport,Iowa,41.5565,-90.6053,281333,1156
Lubbock,Texas,33.5657,-101.8879,280890,1157
Lakeland,Florida,28.0557,-81.9545,280346,1158
South Bend,Indiana,41.6767,-86.2696,278061,1159
Chula Vista,California,32.6281,-117.0144,276103,1160
Chandler,Arizona,33.2825,-111.8514,275618,1161
Rockford,Illinois,42.2596,-89.064,273237,1162
Reading,Pennsylvania,40.34,-75.9267,272712,1163
Eugene,Oregon,44.0564,-123.1174,270990,1164
Wilmington,North Carolina,34.2099,-77.8866,268625,1165
Santa Clarita,California,34.4175,-118.4964,268273,1166
Gilbert,Arizona,33.31,-111.7463,267267,1167
Salem,Oregon,44.9233,-123.0244,266420,1168
Killeen,Texas,31.0753,-97.7297,265921,1169
Round Lake Beach,Illinois,42.3791,-88.0811,264451,1170
Columbus,Georgia,32.51,-84.8771,264282,1171
North Las Vegas,Nevada,36.2883,-115.0888,264022,1172
Kennewick,Washington,46.1978,-119.1732,259995,1173
St. Petersburg,Florida,27.7931,-82.6652,259343,1174
Tallahassee,Florida,30.4551,-84.2527,258696,1175
Laredo,Texas,27.5625,-99.4874,255293,1176
Irving,Texas,32.8583,-96.9702,254962,1177
Peoria,Illinois,40.752,-89.6154,253467,1178
Montgomery,Alabama,32.3482,-86.2668,251158,1179
Chesapeake,Virginia,36.6778,-76.3023,249377,1180
Glendale,Arizona,33.5791,-112.2311,248083,1181
York,Pennsylvania,39.9651,-76.7315,247176,1182
Nashua,New Hampshire,42.7491,-71.491,245209,1183
Garland,Texas,32.91,-96.6304,244026,1184
Scottsdale,Arizona,33.6872,-111.8651,240537,1185
Lafayette,Louisiana,30.2082,-92.0325,237565,1186
Norfolk,Virginia,36.8945,-76.259,236973,1187
Arlington,Virginia,38.8786,-77.1011,235845,1188
Appleton,Wisconsin,44.278,-88.3892,233947,1189
Aguadilla,Puerto Rico,18.4382,-67.1537,228854,1190
Rock Hill,South Carolina,34.9415,-81.0241,228811,1191
Fremont,California,37.5265,-121.9843,228795,1192
Fargo,North Dakota,46.8651,-96.8292,228364,1193
Gulfport,Mississippi,30.4274,-89.0704,228022,1194
Bremerton,Washington,47.5436,-122.7121,226805,1195
Green Bay,Wisconsin,44.5148,-87.9895,225633,1196
Enterprise,Nevada,36.0091,-115.2278,225461,1197
Hialeah,Florida,25.8696,-80.3045,222996,1198
Deltona,Florida,28.905,-81.2137,221137,1199
San Bernardino,California,34.1416,-117.2943,221041,1200
Gainesville,Florida,29.6804,-82.3459,220929,1201
Spring Valley,Nevada,36.0952,-115.2636,220114,1202
Tacoma,Washington,47.2431,-122.4531,219234,1203
Roanoke,Virginia,37.2785,-79.9581,218533,1204
Brownsville,Texas,25.9975,-97.458,215269,1205
College Station,Texas,30.5852,-96.2959,213177,1206
Olympia,Washington,47.0417,-122.8959,210877,1207
Clarksville,Tennessee,36.5692,-87.3413,210551,1208
Yonkers,New York,40.9466,-73.8673,209780,1209
Moreno Valley,California,33.9244,-117.2045,209578,1210
Thousand Oaks,California,34.1914,-118.8756,209570,1211
Portland,Maine,43.6773,-70.2715,209491,1212
Fontana,California,34.0968,-117.4599,209279,1213
Hickory,North Carolina,35.741,-81.3223,206008,1214
Amarillo,Texas,35.1984,-101.8316,205903,1215
Sioux Falls,South Dakota,43.5396,-96.7311,204484,1216
Evansville,Indiana,37.9881,-87.5341,203661,1217
Huntington,West Virginia,38.4109,-82.4345,202754,1218
Waterbury,Connecticut,41.5582,-73.0361,202422,1219
Frisco,Texas,33.156,-96.8216,202075,1220
Lorain,Ohio,41.4409,-82.184,201808,1221
Kalamazoo,Michigan,42.2749,-85.5882,200838,1222
Galveston,Texas,29.2484,-94.8913,200451,1223
Spartanburg,South Carolina,34.9442,-81.9251,200000,1224
Santa Barbara,California,34.4285,-119.7202,199023,1225
Sunrise Manor,Nevada,36.1783,-115.0487,198325,1226
Huntington Beach,California,33.696,-118.0018,197481,1227
Grand Prairie,Texas,32.6871,-97.0208,197279,1228
Overland Park,Kansas,38.887,-94.687,196676,1229
McKinney,Texas,33.2016,-96.667,196160,1230
Waco,Texas,31.5599,-97.1882,195709,1231
Hagerstown,Maryland,39.6401,-77.7217,195261,1232
Glendale,California,34.1819,-118.2468,194512,1233
Nampa,Idaho,43.5844,-116.5638,193935,1234
Peoria,Arizona,33.7843,-112.2989,191292,1235
Cedar Rapids,Iowa,41.9662,-91.6783,191104,1236
Vancouver,Washington,45.6366,-122.5967,190700,1237
Paradise,Nevada,36.0872,-115.1355,189733,1238
Ocala,Florida,29.178,-82.1511,186840,1239
Erie,Pennsylvania,42.1167,-80.0733,185556,1240
Newport News,Virginia,37.1051,-76.5185,185118,1241
Frederick,Maryland,39.4337,-77.4141,184991,1242
Murfreesboro,Tennessee,35.849,-86.4121,184763,1243
Fort Lauderdale,Florida,26.1412,-80.1464,182673,1244
Aurora,Illinois,41.7638,-88.2902,181405,1245
Tempe,Arizona,33.3881,-111.9319,181005,1246
Danbury,Connecticut,41.4015,-73.4709,180143,1247
Spring Hill,Florida,28.4798,-82.53,178833,1248
Gastonia,North Carolina,35.2494,-81.1854,178220,1249
Salinas,California,36.6883,-121.6317,177410,1250
Fredericksburg,Virginia,38.2992,-77.4872,176791,1251
Ontario,California,34.0393,-117.6064,176326,1252
Elk Grove,California,38.4161,-121.3842,176105,1253
Gainesville,Georgia,34.2902,-83.8294,175569,1254
Cary,North Carolina,35.7819,-78.8195,174880,1255
Rancho Cucamonga,California,34.1247,-117.5667,174696,1256
Oceanside,California,33.2247,-117.3083,173722,1257
Garden Grove,California,33.7787,-117.9601,171637,1258
Lancaster,California,34.6935,-118.1753,171465,1259
Hemet,California,33.7341,-116.9969,170621,1260
Pembroke Pines,Florida,26.0128,-80.3382,170472,1261
Panama City,Florida,30.1995,-85.6003,169810,1262
Vallejo,California,38.1125,-122.2342,169541,1263
Manchester,New Hampshire,42.9848,-71.4447,169097,1264
Medford,Oregon,42.3372,-122.854,168959,1265
BayamÃ³n,Puerto Rico,18.3794,-66.1635,168698,1266
Mauldin,South Carolina,34.7821,-82.3032,168313,1267
Santa Cruz,California,36.9789,-122.0346,167835,1268
Palmdale,California,34.5944,-118.1057,166895,1269
Norwich,Connecticut,41.5495,-72.0882,166885,1270
Muskegon,Michigan,43.2281,-86.2562,166847,1271
Leesburg,Florida,28.7672,-81.8962,166200,1272
High Point,North Carolina,35.991,-79.9937,164836,1273
Tuscaloosa,Alabama,33.2348,-87.5268,164414,1274
Visalia,California,36.3276,-119.3269,163681,1275
Marysville,Washington,48.0809,-122.1561,162664,1276
Merced,California,37.3057,-120.4779,160638,1277
Hayward,California,37.6328,-122.0766,160602,1278
Lafayette,Indiana,40.3991,-86.8593,160543,1279
Springfield,Illinois,39.7709,-89.654,159671,1280
Corona,California,33.8616,-117.5649,158346,1281
Paterson,New Jersey,40.9147,-74.1624,157864,1282
Alexandria,Virginia,38.8185,-77.0861,157594,1283
Macon,Georgia,32.8065,-83.6974,156554,1284
Binghamton,New York,42.1014,-75.9093,156375,1285
Lakewood,Colorado,39.6977,-105.1172,156149,1286
Kansas City,Kansas,39.1235,-94.7443,155438,1287
Odessa,Texas,31.8801,-102.3448,155039,1288
Sunnyvale,California,37.3836,-122.0255,154573,1289
New Bedford,Massachusetts,41.6697,-70.9428,153701,1290
Hollywood,Florida,26.0293,-80.1679,152764,1291
South Lyon,Michigan,42.4614,-83.6526,152132,1292
Escondido,California,33.1348,-117.0723,151114,1293
Lake Charles,Louisiana,30.201,-93.2111,151109,1294
Pasadena,Texas,29.6575,-95.1498,150620,1295
Bellevue,Washington,47.5951,-122.1535,150606,1296
Joliet,Illinois,41.5188,-88.1499,150221,1297
Champaign,Illinois,40.1142,-88.2737,150179,1298
Pomona,California,34.0585,-117.7626,149831,1299
Fairfield,California,38.2583,-122.0335,149635,1300
Mesquite,Texas,32.7602,-96.5865,149439,1301
Elkhart,Indiana,41.6916,-85.9627,149423,1302
Naperville,Illinois,41.748,-88.1659,149089,1303
St. George,Utah,37.0758,-113.5752,148895,1304
Roseville,California,38.7703,-121.3196,148879,1305
Topeka,Kansas,39.0346,-95.6955,148185,1306
Burlington,North Carolina,36.076,-79.4685,147415,1307
Warner Robins,Georgia,32.5961,-83.6527,146790,1308
Surprise,Arizona,33.6815,-112.4515,145591,1309
Torrance,California,33.8346,-118.3416,145454,1310
Santa Maria,California,34.9333,-120.4431,143647,1311
Athens,Georgia,33.9508,-83.3689,143173,1312
Houma,Louisiana,29.58,-90.7059,143160,1313
Columbia,Missouri,38.9472,-92.3268,142637,1314
Fullerton,California,33.8841,-117.9279,142280,1315
Olathe,Kansas,38.8833,-94.82,142114,1316
Thornton,Colorado,39.9197,-104.9438,141799,1317
Greeley,Colorado,40.4152,-104.7706,140984,1318
Beaumont,Texas,30.0849,-94.1451,140930,1319
Las Cruces,New Mexico,32.3265,-106.7893,140915,1320
Midland,Texas,32.0243,-102.1147,140171,1321
Metairie,Louisiana,29.9977,-90.178,140046,1322
Carolina,Puerto Rico,18.4054,-65.9792,139201,1323
West Valley City,Utah,40.6886,-112.0123,138868,1324
Orange,California,33.8038,-117.8218,138728,1325
Warren,Michigan,42.4934,-83.027,138588,1326
Grand Junction,Colorado,39.0877,-108.5673,138416,1327
Tyler,Texas,32.3184,-95.3062,138024,1328
Pasadena,California,34.1597,-118.139,137554,1329
Hampton,Virginia,37.0551,-76.363,137217,1330
Bloomington,Illinois,40.4757,-88.9703,136524,1331
Elizabeth,New Jersey,40.6658,-74.1913,135665,1332
Stamford,Connecticut,41.1039,-73.5585,135413,1333
Yuma,Arizona,32.5995,-114.5491,135389,1334
Kent,Washington,47.3887,-122.2128,135169,1335
Miramar,Florida,25.9773,-80.3351,135158,1336
Coeur d'Alene,Idaho,47.704,-116.7936,134503,1337
Coral Springs,Florida,26.2702,-80.2591,133801,1338
Sterling Heights,Michigan,42.5809,-83.0305,133744,1339
Yuba City,California,39.1357,-121.6383,133106,1340
Yakima,Washington,46.5923,-120.5496,132354,1341
Carrollton,Texas,32.989,-96.8999,132284,1342
Racine,Wisconsin,42.7274,-87.8135,132006,1343
Johnson City,Tennessee,36.3406,-82.3806,131718,1344
Billings,Montana,45.7891,-108.5526,131519,1345
Iowa City,Iowa,41.6559,-91.5303,130736,1346
Dover,Delaware,39.161,-75.5202,130186,1347
Bellingham,Washington,48.7548,-122.469,129880,1348
Charleston,West Virginia,38.3484,-81.6322,129754,1349
Lynchburg,Virginia,37.4003,-79.1909,128849,1350
Santa Clara,California,37.3646,-121.968,128058,1351
Norman,Oklahoma,35.2335,-97.3471,127701,1352
Greenville,North Carolina,35.5943,-77.376,127574,1353
Simi Valley,California,34.2663,-118.749,127568,1354
Fort Smith,Arkansas,35.3495,-94.3695,126452,1355
Abilene,Texas,32.4543,-99.7384,126356,1356
Arecibo,Puerto Rico,18.4491,-66.7387,125727,1357
Lewisville,Texas,33.0454,-96.9815,125028,1358
Pearland,Texas,29.5581,-95.3218,124478,1359
Lehigh Acres,Florida,26.612,-81.6388,124440,1360
Kenosha,Wisconsin,42.5865,-87.8773,124297,1361
Seaside,California,36.6224,-121.8199,123421,1362
Burlington,Vermont,44.4876,-73.2316,123307,1363
Arvada,Colorado,39.832,-105.151,123066,1364
Waldorf,Maryland,38.6085,-76.9194,122310,1365
Independence,Missouri,39.0871,-94.3501,122218,1366
Rochester,Minnesota,44.0154,-92.478,121870,1367
Logan,Utah,41.7399,-111.8422,121666,1368
Harlingen,Texas,26.1916,-97.6977,121441,1369
Berkeley,California,37.8722,-122.276,121385,1370
Clovis,California,36.8278,-119.683,120607,1371
Round Rock,Texas,30.527,-97.6642,120465,1372
Pueblo,Colorado,38.2701,-104.6114,120380,1373
Temple,Texas,31.1068,-97.3891,120240,1374
Meridian,Idaho,43.6116,-116.3977,119872,1375
Duluth,Minnesota,46.7756,-92.1393,118574,1376
The Woodlands,Texas,30.1738,-95.5134,118402,1377
Boulder,Colorado,40.0248,-105.2524,118090,1378
Richardson,Texas,32.9716,-96.7093,118063,1379
Cambridge,Massachusetts,42.3759,-71.1185,117962,1380
West Palm Beach,Florida,26.7469,-80.132,117588,1381
Port Arthur,Texas,29.8554,-93.9264,117348,1382
East Los Angeles,California,34.0326,-118.1691,117222,1383
Redding,California,40.5698,-122.365,117163,1384
Clearwater,Florida,27.979,-82.7623,116984,1385
Monroe,Louisiana,32.5185,-92.0774,116927,1386
Utica,New York,43.0962,-75.2261,116766,1387
St. Cloud,Minnesota,45.534,-94.1718,116649,1388
Mandeville,Louisiana,30.3751,-90.0904,116649,1389
West Jordan,Utah,40.6024,-112.0008,116383,1390
North Charleston,South Carolina,32.9067,-80.0722,115755,1391
Richmond,California,37.9477,-122.3389,115619,1392
Westminster,Colorado,39.8837,-105.0624,115502,1393
Saginaw,Michigan,43.4199,-83.9501,115442,1394
Kailua,Hawaii,21.392,-157.7396,115264,1395
Brandon,Florida,27.9367,-82.3,114923,1396
Ponce,Puerto Rico,18.0127,-66.6212,114901,1397
Carlsbad,California,33.1246,-117.2834,114745,1398
Lowell,Massachusetts,42.6389,-71.3217,114737,1399
Broken Arrow,Oklahoma,36.038,-95.7806,114237,1400
Elgin,Illinois,42.0383,-88.324,114190,1401
Gresham,Oregon,45.5021,-122.4413,113525,1402
League City,Texas,29.4874,-95.1087,113469,1403
Downey,California,33.9379,-118.1311,113052,1404
Waterloo,Iowa,42.4918,-92.3522,112333,1405
Murrieta,California,33.5719,-117.1909,111899,1406
Leominster,Massachusetts,42.5209,-71.7717,111856,1407
Longview,Texas,32.5193,-94.7622,111855,1408
Jacksonville,North Carolina,34.7289,-77.3941,111830,1409
Pompano Beach,Florida,26.2428,-80.1312,111790,1410
Bend,Oregon,44.0563,-121.3095,111774,1411
Miami Gardens,Florida,25.9433,-80.2426,111618,1412
Costa Mesa,California,33.6667,-117.9135,111490,1413
Sioux City,Iowa,42.4959,-96.3901,111361,1414
Everett,Washington,47.9525,-122.1669,110847,1415
Gilroy,California,37.0046,-121.5854,110720,1416
San Buenaventura,California,34.2741,-119.2314,110358,1417
Temecula,California,33.4928,-117.1315,110114,1418
Sugar Land,Texas,29.5935,-95.6358,110077,1419
Chico,California,39.7578,-121.8161,110001,1420
Eau Claire,Wisconsin,44.8197,-91.4948,109491,1421
El Monte,California,34.0739,-118.0291,108682,1422
Idaho Falls,Idaho,43.4871,-112.0362,108544,1423
Dearborn,Michigan,42.3127,-83.213,108414,1424
Bloomington,Indiana,39.1637,-86.5257,108387,1425
West Covina,California,34.0555,-117.9113,108173,1426
Sparks,Nevada,39.5736,-119.7161,108025,1427
South Fulton,Georgia,33.6273,-84.58,107865,1428
Centennial,Colorado,39.5926,-104.8673,107702,1429
Sandy Springs,Georgia,33.9366,-84.3703,107221,1430
Inglewood,California,33.9566,-118.3444,106806,1431
Hillsboro,Oregon,45.5273,-122.936,106612,1432
Columbia,Maryland,39.2004,-76.859,106600,1433
Burbank,California,34.1879,-118.3235,106389,1434
Davie,Florida,26.0789,-80.287,105821,1435
El Cajon,California,32.8017,-116.9604,105721,1436
Jurupa Valley,California,34.001,-117.4706,105672,1437
Allen,Texas,33.1088,-96.6735,105444,1438
Auburn,Alabama,32.6087,-85.4903,105386,1439
Renton,Washington,47.4784,-122.1918,105355,1440
Holland,Michigan,42.7677,-86.0984,105134,1441
Brockton,Massachusetts,42.0821,-71.0242,104713,1442
Rio Rancho,New Mexico,35.2873,-106.6982,104351,1443
San Mateo,California,37.5522,-122.3121,104165,1444
Rialto,California,34.1175,-117.3892,103873,1445
Spokane Valley,Washington,47.6626,-117.2346,103761,1446
Charlottesville,Virginia,38.0375,-78.4855,103760,1447
Menifee,California,33.6909,-117.1849,103680,1448
Daly City,California,37.6862,-122.4685,103648,1449
Wichita Falls,Texas,33.9072,-98.5291,102482,1450
Riverview,Florida,27.8227,-82.3023,102467,1451
Norwalk,California,33.9069,-118.0829,101893,1452
Lee's Summit,Missouri,38.9171,-94.3816,101728,1453
Longmont,Colorado,40.1686,-105.1005,101642,1454
Vacaville,California,38.3587,-121.9673,101631,1455
Highlands Ranch,Colorado,39.5419,-104.9708,101514,1456
Kingsport,Tennessee,36.5224,-82.5454,101323,1457
San Tan Valley,Arizona,33.1786,-111.5629,101207,1458
Quincy,Massachusetts,42.2506,-71.0187,100981,1459
Edinburg,Texas,26.3196,-98.1597,100964,1460
Lynn,Massachusetts,42.4781,-70.9664,100653,1461
San Angelo,Texas,31.4424,-100.4504,100057,1462
Hesperia,California,34.3975,-117.3147,99878,1463
Bowling Green,Kentucky,36.9716,-86.4378,99669,1464
Federal Way,Washington,47.3091,-122.3358,99614,1465
Carmel,Indiana,39.965,-86.146,99453,1466
Bismarck,North Dakota,46.8143,-100.7694,99433,1467
Fishers,Indiana,39.9588,-85.9659,99041,1468
Lafayette,Colorado,39.9946,-105.0998,98889,1469
Vista,California,33.1896,-117.2386,98392,1470
Boca Raton,Florida,26.3752,-80.108,97980,1471
St. Augustine,Florida,29.8976,-81.31,97703,1472
Beaverton,Oregon,45.4779,-122.8168,97554,1473
Goodyear,Arizona,33.2614,-112.3622,97542,1474
Portsmouth,Virginia,36.8468,-76.354,97384,1475
Orem,Utah,40.2981,-111.6994,97100,1476
Sunrise,Florida,26.1547,-80.2997,96510,1477
Portsmouth,New Hampshire,43.058,-70.7826,96146,1478
Arden-Arcade,California,38.6017,-121.3845,96076,1479
Lawrence,Kansas,38.9597,-95.2642,96061,1480
Sandy,Utah,40.5709,-111.8506,95635,1481
Slidell,Louisiana,30.2887,-89.7828,95528,1482
Buckeye,Arizona,33.4314,-112.6429,95042,1483
Livonia,Michigan,42.3972,-83.3733,94928,1484
Williamsburg,Virginia,37.2693,-76.7076,94892,1485
Suffolk,Virginia,36.6953,-76.6398,94856,1486
Compton,California,33.893,-118.2274,94822,1487
La Crosse,Wisconsin,43.8241,-91.2268,94627,1488
Edmond,Oklahoma,35.6689,-97.416,94503,1489
Carson,California,33.8374,-118.2559,94475,1490
San Marcos,California,33.135,-117.1743,94360,1491
Tracy,California,37.7269,-121.4523,94027,1492
Prescott Valley,Arizona,34.598,-112.3185,93923,1493
Middletown,Ohio,39.5033,-84.3659,93870,1494
Fall River,Massachusetts,41.7136,-71.1015,93638,1495
San GermÃ¡n,Puerto Rico,18.0827,-67.046,93549,1496
Santa Fe,New Mexico,35.6619,-105.9819,93165,1497
Plantation,Florida,26.1259,-80.2617,93130,1498
MayagÃ¼ez,Puerto Rico,18.2003,-67.1397,93079,1499
New Braunfels,Texas,29.6994,-98.1148,92993,1500
Roswell,Georgia,34.0391,-84.3513,92770,1501
Conroe,Texas,30.3238,-95.4824,92475,1502
South Gate,California,33.9447,-118.1926,92381,1503
Santa Monica,California,34.0235,-118.481,92168,1504
Kirkland,Washington,47.697,-122.2057,92015,1505
Hoover,Alabama,33.3763,-86.8068,91995,1506
O'Fallon,Missouri,38.785,-90.7175,91825,1507
Alafaya,Florida,28.528,-81.1868,91531,1508
Palm Coast,Florida,29.5389,-81.2457,91082,1509
Norwalk,Connecticut,41.1144,-73.4215,91050,1510
Lawton,Oklahoma,34.6175,-98.4202,91023,1511
Chino,California,33.9836,-117.6654,91008,1512
